#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-03-24T21:17:34 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-03-24T21:17:34	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.add=_RAJ,_DEJ&-c.r=  2&-c.geom=r&-source=J/A+A/661/A53/table1&-order=I&-out=RAJ2000&-out=DEJ2000&-out=l_Mdust&-out=Mdust&Simbad=Simbad&-out.max=unlimited&-c.eq=J2000&-c.u=arcmin&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36610053
#Name: J/A+A/661/A53
#Title: Survey of Orion disks with ALMA (SODA) (van Terwisga+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/661/a53	    IVOID of underlying data collection
#INFO	creator=van Terwisga S.E.	    First author or institution
#INFO	cites=bibcode:2022A&A...661A..53V	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/661/A53	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36610053	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-09-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_661_A53_table1:
#Name: J/A+A/661/A53/table1
#Title: Continuum fluxes and masses for the SODA sample
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	RAJ2000	(A11)	Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	l_Mdust	(A1)	[<] Upper limit flag on Mdust	[ucd=meta.code.error]
#Column	Mdust	(F5.1)	[1.1/363.92] Disk dust mass	[ucd=phys.mass]
_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	l_Mdust	Mdust
deg	deg	"h:m:s"	"d:m:s"	 	Mgeo
-----------	-----------	-----------	------------	-	-----
085.6272083	-10.1801722	05 42 30.53	-10 10 48.62	<	  2.4
085.7566250	-10.1306667	05 43 01.59	-10 07 50.40	 	  2.4
085.6324167	-10.0907111	05 42 31.78	-10 05 26.56	<	  2.0
085.6582500	-10.0619278	05 42 37.98	-10 03 42.94	<	  1.9
085.7497500	-10.0612833	05 42 59.94	-10 03 40.62	 	  3.1
085.7500000	-10.0600167	05 43 00.00	-10 03 36.06	 	  5.4
085.7411250	-10.0600944	05 42 57.87	-10 03 36.34	<	  2.2
085.6544583	-10.0583333	05 42 37.07	-10 03 30.00	<	  2.4
085.6852083	-10.0552167	05 42 44.45	-10 03 18.78	 	 25.8
085.7201667	-10.0451833	05 42 52.84	-10 02 42.66	<	  2.3
085.7190833	-10.0413944	05 42 52.58	-10 02 29.02	<	  2.2
085.5514583	-10.0361778	05 42 12.35	-10 02 10.24	<	  2.3
085.6430000	-10.0311944	05 42 34.32	-10 01 52.30	<	  2.3
085.6156667	-10.0309444	05 42 27.76	-10 01 51.40	 	 63.8
085.6071667	-10.0300778	05 42 25.72	-10 01 48.28	<	  2.5
085.6453750	-10.0296167	05 42 34.89	-10 01 46.62	 	110.4
085.6190417	-10.0284667	05 42 28.57	-10 01 42.48	<	  2.1
085.6313750	-10.0268944	05 42 31.53	-10 01 36.82	 	  6.0
085.5002917	-10.0199333	05 42 00.07	-10 01 11.76	<	  2.1
085.6590833	-10.0190000	05 42 38.18	-10 01 08.40	<	  2.2
085.6730833	-10.0183389	05 42 41.54	-10 01 06.02	<	  2.2
085.7710417	-10.0174167	05 43 05.05	-10 01 02.70	 	  5.8
085.6520000	-10.0175444	05 42 36.48	-10 01 03.16	 	  2.4
085.5640833	-10.0163278	05 42 15.38	-10 00 58.78	<	  2.4
085.5665417	-10.0114111	05 42 15.97	-10 00 41.08	 	  2.5
085.6270417	-10.0107278	05 42 30.49	-10 00 38.62	<	  2.3
085.6013333	-10.0100500	05 42 24.32	-10 00 36.18	<	  2.6
085.6629167	-10.0094056	05 42 39.10	-10 00 33.86	 	  7.5
085.7704167	-10.0056389	05 43 04.90	-10 00 20.30	 	  8.2
085.6347500	-10.0044333	05 42 32.34	-10 00 15.96	<	  2.3
085.6427500	 -9.9969667	05 42 34.26	-09 59 49.08	<	  2.2
085.5704167	 -9.9950944	05 42 16.90	-09 59 42.34	 	 91.7
085.6543333	 -9.9938389	05 42 37.04	-09 59 37.82	 	  4.2
085.6520833	 -9.9869222	05 42 36.50	-09 59 12.92	<	  2.4
