#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-03-27T20:39:24 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-03-27T20:39:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/622/A149/tablec1&-order=I&-out=RAJ2000&-out=DEJ2000&-out=Otype&-out=Jmag&-out=Hmag&-out=Ksmag&-out=Class&-out=ClassFlag&-out=SimbadName&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36220149
#Name: J/A+A/622/A149
#Title: Vienna survey in Orion. III. (Grossschedl+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/a+a/622/a149	    IVOID of underlying data collection
#INFO	creator=Grossschedl J.E.	    First author or institution
#INFO	cites=bibcode:2019A&A...622A.149G	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/622/A149	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36220149	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-08-26	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_622_A149_tablec1:
#Name: J/A+A/622/A149/tablec1
#Title: Catalog of YSO candidates and rejected YSOs
#Column	RAJ2000	(A12)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A13)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Otype	(a22)	Object Type as given in SIMBAD	[ucd=src.class]
#Column	Jmag	(F7.4)	? J magnitude from VISTA	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F7.4)	? H magnitude from VISTA	[ucd=phot.mag;em.IR.H]
#Column	Ksmag	(F7.4)	? Ks magnitude from VISTA	[ucd=phot.mag;em.IR.K]
#Column	Class	(A4)	YSO classification (9)	[ucd=meta.code.class]
#Column	ClassFlag	(I1)	[1/4] Flag to distinguish between candidates (10)	[ucd=meta.code]
#Column	SimbadName	(a24)	Simbad column added by the CDS	[ucd=meta.id]
RAJ2000	DEJ2000	Otype	Jmag	Hmag	Ksmag	Class	ClassFlag	SimbadName
"h:m:s"	"d:m:s"	 	mag	mag	mag	 	 	
------------	-------------	----------------------	-------	-------	-------	----	-	------------------------
05 29 23.361	-04 30 56.397	                      	11.1250	10.8240	10.2590	D   	2	2MASS J05292335-0430564
05 30 00.751	-05 15 45.129	pMS*                  	16.0840	15.3740	14.8880	G   	3	[MGM2012] 2176
05 30 29.021	-03 56 42.838	                      	14.4800	13.8450	13.5830	D   	2	2MASS J05302902-0356428
05 30 30.592	-04 24 50.141	                      	12.7850	12.0750	11.7850	AD  	2	2MASS J05303059-0424501
05 30 38.405	-05 25 43.618	Flare*                	12.0940	11.3980	11.1030	D   	2	V* V538 Ori
05 30 43.110	-04 15 54.257	                      	14.7220	13.9420	13.2900	D   	2	2MASS J05304311-0415542
05 30 51.545	-04 10 34.821	                      	       	       	14.4150	I   	2	VISION J05305155-0410348
05 30 57.054	-04 12 56.566	Flare*                	11.7120	10.9830	10.7060	AD  	2	V* V691 Ori
05 31 27.090	-04 27 59.342	Em*                   	13.3830	11.0860	 9.4250	F   	2	VISION J05312709-0427593
05 31 49.369	-06 00 19.357	Flare*                	11.4960	10.8210	10.5490	TD  	2	V* V1207 Ori
05 31 51.713	-05 23 08.228	*inCl                 	12.0060	10.4920	 9.7090	D   	2	VISION J05315171-0523082
05 31 55.061	-04 22 52.964	Flare*                	12.4450	11.8450	11.5100	D   	2	V* V972 Ori
05 31 56.971	-03 37 36.754	                      	14.2570	13.8550	13.1200	D   	2	VISION J05315697-0337368
05 31 58.239	-04 06 41.608	Em*                   	13.7780	13.1910	12.6610	D   	2	Kiso A-0976   9
05 32 00.313	-04 55 53.809	Irregular_V* (B9-star)	11.2860	10.8930	 9.3270	F   	2	V* UY Ori
05 32 06.216	-04 56 09.825	Flare*                	12.7090	11.9380	11.6810	D   	2	WISE J053206.20-045610.0
05 32 11.407	-05 37 43.989	Em*                   	13.1550	11.6870	11.3040	D   	2	Kiso A-0976  15
05 32 14.834	-06 20 54.758	Orion_V*              	12.4270	11.7780	11.4760	D   	2	V* V1164 Ori
05 32 15.132	-05 35 00.398	Orion_V*              	11.7520	11.0620	10.6650	D   	2	V* V1163 Ori
05 32 18.747	-05 13 38.798	Em*                   	13.1870	12.4620	12.0970	D   	2	Haro 4-279
05 32 19.864	-05 36 54.129	Em*                   	12.2530	11.2620	10.8350	D   	2	Haro 4-282
05 32 24.014	-05 05 23.542	Em*                   	10.8400	 9.9600	 9.5570	D   	2	[RHS2000] 1-72
05 32 24.712	-04 16 48.890	                      	14.0700	13.4810	13.2020	TD  	2	2MASS J05322471-0416489
05 32 25.668	-03 43 13.717	Orion_V*              	12.0300	11.2770	10.9450	D   	2	V* V1165 Ori
