#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-04-24T00:34:21 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-04-24T00:34:21	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_RAJ,_DEJ&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/875/L9/table1&-order=I&-out=SSTc2d&-out=RAdeg&-out=DEdeg&Gaia=Gaia&-out=SimbadName&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18759009
#Name: J/ApJ/875/L9
#Title: ODISEA: Disk dust mass distributions (Williams+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/apj/875/l9	    IVOID of underlying data collection
#INFO	creator=Williams J.P.	    First author or institution
#INFO	cites=bibcode:2019ApJ...875L...9W	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/875/L9	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18759009	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-01-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_875_L9_table1:
#Name: J/ApJ/875/L9/table1
#Title: Disk distances and flux densities
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	SSTc2d	(A16)	Spitzer source name (JHHMMSS.s+DDMMSS)	[ucd=meta.id;meta.main]
#Column	RAdeg	(F9.5)	[245/250]? Right Ascension of ALMA source (J2000)	[ucd=pos.eq.ra]
#Column	DEdeg	(F9.5)	[-25.5/-22.9]? Declination of ALMA source (J2000)	[ucd=pos.eq.dec]
#Column	SimbadName	(A23)	Simbad column added by the CDS	[ucd=meta.id]
_RAJ2000	_DEJ2000	SSTc2d	RAdeg	DEdeg	SimbadName
deg	deg	 	deg	deg	
----------	----------	----------------	---------	---------	-----------------------
245.142500	-24.436944	J162034.2-242613	         	         	SSTc2d J162034.2-242613
245.327083	-22.916111	J162118.5-225458	245.32696	-22.91624	SSTc2d J162118.5-225458
245.382917	-23.027778	J162131.9-230140	245.38302	-23.02800	SSTc2d J162131.9-230140
245.411250	-22.891111	J162138.7-225328	         	         	SSTc2d J162138.7-225328
245.425000	-23.228611	J162142.0-231343	245.42493	-23.22884	SSTc2d J162142.0-231343
245.437917	-23.708889	J162145.1-234232	245.43801	-23.70894	SSTc2d J162145.1-234232
245.452083	-23.674167	J162148.5-234027	245.45198	-23.67438	SSTc2d J162148.5-234027
245.490417	-24.495278	J162157.7-242943	         	         	SSTc2d J162157.7-242943
245.577083	-23.363333	J162218.5-232148	245.57718	-23.36351	SSTc2d J162218.5-232148
245.587500	-23.067222	J162221.0-230402	         	         	SSTc2d J162221.0-230402
245.604167	-23.498611	J162225.0-232955	245.60397	-23.49873	SSTc2d J162225.0-232955
245.605000	-24.087222	J162225.2-240514	         	         	SSTc2d J162225.2-240514
245.648333	-23.626111	J162235.6-233734	         	         	SSTc2d J162235.6-233734
245.674167	-24.427222	J162241.8-242538	         	         	SSTc2d J162241.8-242538
245.687083	-23.286944	J162244.9-231713	         	         	SSTc2d J162244.9-231713
245.689167	-24.523333	J162245.4-243124	         	         	SSTc2d J162245.4-243124
245.696667	-23.003611	J162247.2-230013	         	         	SSTc2d J162247.2-230013
245.702500	-23.038333	J162248.6-230218	         	         	SSTc2d J162248.6-230218
245.749167	-23.443056	J162259.8-232635	         	         	SSTc2d J162259.8-232635
245.772500	-23.049167	J162305.4-230257	245.77257	-23.04930	SSTc2d J162305.4-230257
245.774583	-23.638333	J162305.9-233818	         	         	SSTc2d J162305.9-233818
245.778750	-22.960278	J162306.9-225737	245.77851	-22.96038	SSTc2d J162306.9-225737
245.786667	-22.961944	J162308.8-225743	245.78656	-22.96207	SSTc2d J162308.8-225743
245.788333	-24.284722	J162309.2-241705	245.78842	-24.28483	SSTc2d J162309.2-241705
245.807083	-23.066111	J162313.7-230358	         	         	SSTc2d J162313.7-230358
245.815000	-23.716667	J162315.6-234300	245.81487	-23.71685	SSTc2d J162315.6-234300
245.884167	-24.431667	J162332.2-242554	         	         	SSTc2d J162332.2-242554
245.886667	-22.979722	J162332.8-225847	245.88676	-22.97982	SSTc2d J162332.8-225847
245.895000	-23.675000	J162334.8-234030	245.89493	-23.67511	SSTc2d J162334.8-234030
245.900417	-24.039167	J162336.1-240221	245.90046	-24.03924	SSTc2d J162336.1-240221
245.910417	-23.095833	J162338.5-230545	245.91047	-23.09590	SSTc2d J162338.5-230545
245.960417	-22.977222	J162350.5-225838	245.96043	-22.97737	SSTc2d J162350.5-225838
