N	Identifier	Otype	ICRS (J2000) RA	ICRS (J2000) DEC	Mag U	Mag B	Mag V	Mag R	Mag I	Sp type	#ref 1850 - 2025	#notes
1	[MAM2016] Cluster10	C?G	05 30 28.000	-04 14 42.00						~	1	0
2	2MASS J05305129-0410322	Y*?	05 30 51.29616	-04 10 32.2140						~	4	0
3	2MASS J05305156-0410349	Y*O	05 30 51.56088	-04 10 34.9356						~	3	0
4	[MAM2016] Cluster09	C?G	05 31 08.000	-05 30 48.00						~	1	0
5	IRAS 05289-0430	Y*O	05 31 27.1038134712	-04 27 59.574965436			16.7			~	11	0
6	ESO-HA 722	Y*O	05 31 51.7166750808	-05 23 08.255246424			18.79			~	8	0
7	[MAM2016] Cluster08	C?G	05 32 06.000	-06 05 21.00						~	1	0
8	2MASS J05324163-0536114	Y*O	05 32 41.64	-05 36 11.5						~	4	0
9	2MASS J05324165-0535460	Y*O	05 32 41.65344	-05 35 46.0860						~	6	0
10	NAME Orion Nebula Cluster 	OpC	05 35.0	-05 29						~	2430	0
11	BD-06 1235	Y*O	05 35 04.1530595472	-06 17 07.355407488	10.49	10.39	9.81	9.51		F8.0	24	0
12	HH 323	HH	05 35 12.896	-06 17 41.48						~	3	0
13	HH 322	HH	05 35 13.1	-06 19 51						~	5	0
14	NAME Orion-KL 	SFR	05 35 14.16	-05 22 21.5						~	2352	1
15	NGC 1980	OpC	05 35 14.4	-05 55 26			2.5			~	120	0
16	NGC 1977	OpC	05 35 15.6	-04 49 08						~	244	0
17	NAME Ori Trapezium 	OpC	05 35 16.5	-05 23 14						~	1666	1
18	M 42	HII	05 35 16.8	-05 23 15						~	4204	0
19	OMC 3	MoC	05 35 20.0	-05 01 00						~	288	1
20	NGC 1981	OpC	05 35 23.5	-04 29 10			4.2			~	92	0
21	OMC 2	MoC	05 35 27	-05 10.1						~	467	1
22	HH 34	HH	05 35 31.30	-06 28 43.0			16			~	491	2
23	NAME LDN 1641 North	HII	05 36 17.6	-06 22 10						~	247	0
24	NAME HH 1-2	HH	05 36 22.8	-06 46 03						~	209	1
25	BD-06 1253	Ae*	05 36 25.4320468080	-06 42 57.684730284		11.65	10.9	10.29		A1e	441	1
26	NAME Ori A 	MoC	05 38	-7.1						~	3106	0
27	V* V883 Ori	Or*	05 38 18.1018261392	-07 02 26.017707120						F:I:	245	0
28	NAME LDN 1641 Center	DNe	05 38 46.4	-07 01 05						~	60	0
29	LDN 1641	MoC	05 39.0	-07 00						~	493	0
30	[MAM2016] Cluster04	C?G	05 39 46.000	-08 47 38.00						~	1	0
31	[MAM2016] Cluster07	C?G	05 40 25.000	-05 59 36.00						~	1	0
32	NAME LDN 1641 South	DNe	05 40 27.6	-07 27 28						~	64	1
33	[MAM2016] Cluster01	C?G	05 40 44.000	-09 57 56.00						~	1	0
34	NAME Ori B 	MoC	05 41 43.0	-01 54 44						~	1442	0
35	NGC 2024	Cl*	05 41 43	-01 50.5						~	1179	1
36	[MAM2016] Cluster03	C?G	05 41 51.000	-09 06 33.00						~	1	0
37	UCAC4 405-010152	*	05 41 55.5347635824	-09 11 50.418764484		17.04	15.00	14.33		~	1	0
38	LDN 1647	DNe	05 42.4	-09 58						~	42	0
39	[MAM2016] Cluster06	C?G	05 42 36.000	-06 59 34.00						~	1	0
40	BD-09 1215	*	05 43 53.8369133592	-09 01 59.551073436		10.44	9.97	9.74		F6.0	3	0
41	[MAM2016] Cluster05	C?G	05 44 53.000	-08 03 58.00						~	1	0
42	M 78	RNe	05 46 45.8	+00 04 45		8.0				~	385	0
43	[MAM2016] Cluster02	C?G	05 47 05.000	-08 55 17.00						~	1	0
44	NGC 2071	RNe	05 47 10	+00 18.0						~	656	1
