#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-03-24T21:31:22 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-03-24T21:31:22	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/872/158/table4&-order=I&-out=ALMA&-out=2MASS&-out=Role&-out=Sample&-out=binsep&-out=r_binsep&-out=l_F1.3mm&-out=F1.3mm&-out=e_F1.3mm&-out=r_F1.3mm&-out=SpT&-out=r_SpT&-out=logMstar&-out=e_logMstar&-out=E_logMstar&-out=logLstar&-out=e_logLstar&-out=E_logLstar&-out=l_logMdisk&-out=logMdisk&-out=e_logMdisk&-out=Dist&-out=e_Dist&-out=f_Dist&-out=L10&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18720158
#Name: J/ApJ/872/158
#Title: Survey of Class II sources in Taurus with ALMA (Akeson+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/apj/872/158	    IVOID of underlying data collection
#INFO	creator=Akeson R.L.	    First author or institution
#INFO	cites=bibcode:2019ApJ...872..158A	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/872/158	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18720158	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-01-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_ApJ_872_158_table4:
#Name: J/ApJ/872/158/table4
#Title: Taurus disk and stellar properties
#Column	ALMA	(A1)	Display the ALMA data for this source (link to Table 2)	[ucd=meta.ref.url]
#Column	2MASS	(A17)	2MASS designation (JHHMMSSss+DDMMSSs)	[ucd=meta.id;meta.main]
#Column	Role	(I2)	[-9/4]? Role (1)	[ucd=meta.code]
#Column	Sample	(A1)	[YN] In sample?	[ucd=meta.code]
#Column	binsep	(F6.3)	[0.1/17.2]? Binary separation	[ucd=pos.angDistance;src.orbital]
#Column	r_binsep	(I1)	? Binary separation reference (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	l_F1.3mm	(A1)	Limit on Flux	[ucd=meta.code.error]
#Column	F1.3mm	(F6.2)	[0.16/344.2] Flux at 1.3mm	[ucd=phot.flux.density;em.mm.200-400GHz]
#Column	e_F1.3mm	(F5.2)	[0.07/17.8]? Uncertainty in F1.3mm	[ucd=stat.error]
#Column	r_F1.3mm	(I2)	F1.3mm reference (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	SpT	(a9)	Spectral Type	[ucd=src.spType]
#Column	r_SpT	(a5)	Spectral Type Reference(s) (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	logMstar	(F5.2)	[-1.77/0.54] Log of stellar mass	[ucd=phys.mass]
#Column	e_logMstar	(F5.2)	[0.01/0.38] Lower uncertainty in logMstar	[ucd=stat.error]
#Column	E_logMstar	(F5.2)	[0.0/0.38] Upper uncertainty in logMstar	[ucd=stat.error;stat.max]
#Column	logLstar	(F5.2)	[-2.35/1.72] Log of stellar luminosity	[ucd=phys.luminosity;em.radio]
#Column	e_logLstar	(F5.2)	[0.01/0.65] Lower uncertainty in logLstar	[ucd=stat.error]
#Column	E_logLstar	(F5.2)	[0.01/0.65] Upper uncertainty in logLstar	[ucd=stat.error;stat.max]
#Column	l_logMdisk	(A1)	Limit flag on logMdisk	[ucd=meta.code.error]
#Column	logMdisk	(F5.2)	[-4.59/-0.93] Log of disk mass	[ucd=phys.mass]
#Column	e_logMdisk	(F5.2)	[0.08/0.27]? Uncertainty in logMdisk	[ucd=stat.error]
#Column	Dist	(F6.2)	[115.12/873.64] Distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F6.2)	[0.05/346.2] Uncertainty in Dist	[ucd=stat.error]
#Column	f_Dist	(I1)	[1/8]? Distance flag (2)	[ucd=meta.code]
#Column	L10	(I3)	Display data from Luhman+, 2010, J/ApJS/186/111 within 1"	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
ALMA	2MASS	Role	Sample	binsep	r_binsep	l_F1.3mm	F1.3mm	e_F1.3mm	r_F1.3mm	SpT	r_SpT	logMstar	e_logMstar	E_logMstar	logLstar	e_logLstar	E_logLstar	l_logMdisk	logMdisk	e_logMdisk	Dist	e_Dist	f_Dist	L10	Simbad	_RA	_DE
 	 	 	 	arcsec	 	 	mJy	mJy	 	 	 	[Msun]	[Msun]	[Msun]	[Lsun]	[Lsun]	[Lsun]	 	[Msun]	[Msun]	pc	pc	 	 	 	deg	deg
-	-----------------	--	-	------	-	-	------	-----	--	---------	-----	-----	-----	-----	-----	-----	-----	-	-----	-----	------	------	-	---	------	---------	---------
 	J04135737+2918193	-9	N	      	 	<	 19.80	     	 8	M3       	12   	-0.54	 0.19	 0.10	-0.50	 0.19	 0.12	<	-2.73	     	123.07	  1.53	 	  1	Simbad	063.48907	+29.30538
 	J04141188+2811535	 0	N	      	 	 	  0.28	 0.08	11	M6.25    	13   	-1.25	 0.20	 0.27	-1.57	 0.32	 0.43	 	-4.25	 0.16	130.70	  2.86	 	  1	Simbad	063.54951	+28.19817
 	J04141358+2812492	 0	Y	      	 	 	 13.10	 2.70	 8	M4.5     	14   	-0.83	 0.23	 0.20	-0.85	 0.39	 0.26	 	-2.76	 0.13	131.44	  0.81	 	  1	Simbad	063.55660	+28.21366
 	J04141458+2827580	 0	Y	      	 	 	 16.80	 2.10	 8	M3.5     	14   	-0.62	 0.20	 0.14	-0.59	 0.26	 0.16	 	-2.72	 0.10	130.76	  1.06	 	  1	Simbad	063.56081	+28.46613
 	J04141700+2810578	 0	Y	      	 	 	 52.30	 7.00	 8	K3.0     	14   	 0.05	 0.08	 0.07	 0.38	 0.14	 0.11	 	-2.46	 0.10	131.94	  0.68	 	  1	Simbad	063.57085	+28.18271
 	J04141760+2806096	 0	Y	      	 	 	 13.50	 2.80	 8	M4.5     	14   	-0.83	 0.23	 0.20	-0.85	 0.39	 0.26	 	-2.72	 0.13	135.19	  1.59	 	  1	Simbad	063.57337	+28.10268
 	J04142626+2806032	 1	N	      	 	 	216.00	 0.76	 9	M2.5     	15   	-0.48	 0.14	 0.08	-0.43	 0.16	 0.11	 	-1.64	 0.09	132.32	  3.85	 	  1	Simbad	063.60946	+28.10091
 	J04142626+2806032	-2	N	      	 	 	133.30	 0.79	 9	M2.5/5.2 	15   	-0.18	 0.14	 0.08	-0.35	 0.20	 0.17	 	-1.87	 0.09	132.32	  3.85	1	  1	Simbad	063.60946	+28.10091
 	J04143054+2805147	-1	N	      	 	<	 12.00	     	 8	K7/M2    	15,8 	 0.11	 0.01	 0.04	 0.14	 0.04	 0.09	<	-2.52	     	241.36	 11.29	 	  1	Simbad	063.62731	+28.08739
 	J04144730+2646264	 0	Y	      	 	 	  6.04	 0.20	11	M2.6     	14   	-0.49	 0.16	 0.08	-0.44	 0.17	 0.11	 	-3.22	 0.09	128.01	  0.85	 	  1	Simbad	063.69709	+26.77400
 	J04144786+2648110	 0	Y	      	 	 	  9.40	 2.30	 8	M2.5     	14   	-0.48	 0.14	 0.08	-0.43	 0.16	 0.11	 	-3.04	 0.12	127.46	  0.65	 	  1	Simbad	063.69942	+26.80306
*	J04144928+2812305	 1	Y	 0.150	1	 	  3.07	 0.19	 7	M3.5     	16   	-0.62	 0.20	 0.14	-0.59	 0.26	 0.16	 	-3.45	 0.09	132.07	  1.50	2	  1	Simbad	063.70533	+28.20846
*	J04144928+2812305	 2	Y	 0.150	1	 	  2.94	 0.19	 7	M3.5     	16   	-0.62	 0.20	 0.14	-0.59	 0.26	 0.16	 	-3.47	 0.09	132.07	  1.50	2	  1	Simbad	063.70533	+28.20846
 	J04153916+2818586	-9	N	      	 	 	 13.40	 1.40	 8	M4.0     	14   	-0.73	 0.19	 0.19	-0.68	 0.35	 0.19	 	-2.80	 0.10	131.01	  1.40	 	  1	Simbad	063.91318	+28.31626
 	J04154278+2909597	-9	N	      	 	 	 19.90	 2.50	 8	M1.25    	12   	-0.37	 0.09	 0.10	-0.28	 0.12	 0.15	 	-2.55	 0.10	159.24	  1.69	 	  1	Simbad	063.92828	+29.16662
 	J04155799+2746175	-9	N	      	 	 	 12.60	 1.40	 8	M5.2     	14   	-0.97	 0.27	 0.20	-1.12	 0.43	 0.39	 	-2.69	 0.13	135.19	  1.97	 	  1	Simbad	063.99167	+27.77148
 	J04161210+2756385	 0	Y	      	 	 	  2.19	 0.12	11	M4.75    	13   	-0.87	 0.38	 0.19	-0.94	 0.65	 0.29	 	-3.48	 0.11	137.00	  2.21	 	  1	Simbad	064.05045	+27.94403
 	J04163911+2858491	 0	Y	      	 	<	  2.50	     	 8	M5.5     	17   	-1.05	 0.27	 0.23	-1.25	 0.45	 0.39	<	-3.22	     	159.24	  1.69	2	  1	Simbad	064.16304	+28.98036
 	J04173372+2820468	 0	Y	      	 	 	 79.40	 5.90	 8	M2.3     	14   	-0.46	 0.12	 0.09	-0.41	 0.14	 0.12	 	-2.11	 0.09	128.41	  0.73	 	  1	Simbad	064.39053	+28.34634
 	J04174955+2813318	 0	Y	      	 	 	  7.80	 1.40	 8	M5       	18   	-0.92	 0.29	 0.19	-1.03	 0.49	 0.35	 	-2.91	 0.13	136.89	  2.20	 	  1	Simbad	064.45649	+28.22549
 	J04174965+2829362	 0	Y	      	 	<	  3.40	     	 8	M3.7     	14   	-0.67	 0.20	 0.17	-0.63	 0.29	 0.18	<	-3.42	     	128.57	  1.27	 	  1	Simbad	064.45691	+28.49342
